Date;P;Tmax;Tmin;Tmean;ET0;Qmm;NDSI1;NDSI2;NDSI3;NDSI4;NDSI5
2000-06-01;0.0;7.22018;-4.175008;1.522586;3.368664628;4.72866464820004;16.1039069;58.54900332;71.08187135;73.33885667;73.42192691
2000-06-02;2.7003934;12.180718;3.2113411;7.69603;3.875100314;6.155914038967735;14.76226101;58.01162791;73.88972431;76.65617233;75.32724252
2000-06-03;4.9335084;11.9345045;4.260106;8.097305;3.425919281;9.442912635887277;14.76226101;58.01162791;73.88972431;76.65617233;75.32724252
2000-06-04;0.6428033;9.690663;3.3569617;6.523813;2.550542086;11.87932826255132;14.2394015;57.3654485;74.36925647;78.06876553;76.02076412
2000-06-05;0.45513114;10.814886;3.251957;7.033422;3.318448572;12.25416143588425;15.37822111;53.90531561;70.50125313;76.89063795;76.02076412
2000-06-06;17.448442;8.414197;1.3681585;4.8911777;2.902532698;12.369494719986688;15.37822111;53.90531561;70.50125313;76.89063795;76.02076412
2000-06-07;0.0;4.342044;-1.8643246;1.2388595;2.106436377;12.51366132511474;15.37822111;53.90531561;70.76942356;76.81855841;75.53820598
2000-06-08;0.0;9.271047;-1.471142;3.899952;3.478571831;12.931744479986085;11.50955943;51.72674419;68.42940685;75.24357912;74.13372093
2000-06-09;0.0;12.334327;3.6560795;7.995204;3.297043991;15.714159958957447;8.106400665;42.52574751;72.56140351;82.03065452;87.42940199
2000-06-10;1.0915574;11.679742;4.4273987;8.05357;3.250974343;16.29082637946965;8.106400665;42.52574751;72.56140351;82.03065452;87.42940199
2000-06-11;5.879147;8.261774;3.4353225;5.8485484;2.110762679;17.73249243075015;8.106400665;42.52574751;72.56140351;82.03065452;87.42940199
2000-06-12;3.985213;12.458117;3.3075235;7.8828206;3.722687901;15.2816601435733;8.106400665;42.52574751;72.56140351;82.03065452;87.42940199
2000-06-13;11.59395;11.011453;3.759769;7.3856115;3.433903307;15.425826748701349;8.106400665;42.52574751;72.56140351;82.03065452;87.42940199
2000-06-14;18.81941;11.015928;2.237488;6.626708;3.363365641;15.5699933538294;7.841230258;40.46013289;71.41186299;81.88732394;87.42940199
2000-06-15;6.4335246;5.553898;1.2326916;3.393295;2.015958572;14.7049937230611;7.841230258;40.46013289;71.41186299;81.88732394;87.42940199
2000-06-16;0.39865577;4.7509303;-0.7477222;2.0016038;2.097199798;14.01299401844646;7.778054863;39.92026578;70.78780284;81.11681856;87.21345515
2000-06-17;0.0;4.1213827;-4.50624;-0.19242859;2.331665519;12.91732781947328;2.378221114;29.93853821;61.91562239;72.92957746;79.73920266
2000-06-18;0.0;11.514085;-0.3995188;5.557283;3.665685582;11.73516165742327;3.684954281;28.04069767;61.56390977;75.70173985;83.40946844
2000-06-19;0.0;12.740953;3.7357717;8.238362;3.705963214;12.6866612512684;5.029925187;27.85049834;56.53884712;70.70588235;81.41611296
2000-06-20;6.6563773;15.24607;5.319121;10.282596;4.188804338;14.849160328189148;1.955943475;17.15780731;54.4352548;72.0057995;84.1320598
2000-06-21;0.38986886;13.812287;5.912143;9.862216;3.66597793;17.15582601023795;2.170407315;17.98421927;49.30409357;66.89643745;82.90448505
2000-06-22;0.97619677;13.900161;4.633734;9.266948;3.81637053;17.73249243075015;1.831255195;14.68770764;46.73934837;67.43413422;81.82059801
2000-06-23;29.27036;9.239301;0.758614;4.9989576;2.926361197;18.741658666646497;1.831255195;14.28259041;46.19555935;67.42868988;81.82059801
2000-06-24;9.193902;4.25624;-2.3095446;0.9733477;2.051852551;15.2816601435733;1.831255195;14.28259041;46.19555935;67.42868988;81.82059801
2000-06-25;0.10000001;0.7229388;-3.4283767;-1.352719;1.605580028;10.365578908706794;1.831255195;14.28259041;46.19555935;67.42868988;81.28759894
2000-06-26;0.0;2.8877769;-4.7483797;-0.93030155;2.120111076;7.943579942555554;3.535328346;16.95037847;48.09137489;68.26865672;81.58663149
2000-06-27;0.0;6.0836387;-3.9616618;1.0609881;2.620140323;7.52549678768421;3.535328346;16.95037847;48.09137489;68.26865672;81.58663149
2000-06-28;7.4112134;4.996808;-0.31503052;2.3408885;2.362122597;7.222746916915304;3.535328346;16.95037847;48.09137489;68.26865672;81.58663149
2000-06-29;7.7168365;3.454395;-2.4009948;0.52670044;1.826910447;6.357747286147005;3.535328346;16.95037847;48.09137489;68.26865672;81.58663149
2000-06-30;0.0;7.505406;-0.15874232;3.6733315;2.762111393;6.314497304608589;3.509559435;16.9470143;47.64560205;68.42205638;80.58487247
2000-07-01;2.0923605;10.009031;1.7688483;5.8889394;2.983772557;8.04449656614519;3.044056525;15.38687973;47.57216055;68.43034826;80.58487247
2000-07-02;0.1955738;13.956994;3.6670837;8.812039;3.427327093;11.720744996910463;2.886118038;10.80564784;44.9122807;68.47638774;82.52468619
2000-07-03;4.083459;12.623611;5.502583;9.063098;2.972619668;16.29082637946965;1.168744805;9.082225914;40.13700919;65.48301574;82.87292359
2000-07-04;9.010311;10.85462;3.7122235;7.283422;2.967835117;19.0299918769026;1.168744805;9.082225914;40.13700919;65.48301574;82.87292359
2000-07-05;0.04929509;8.41718;2.100433;5.258806;2.583385826;17.299992615365998;1.78719867;11.19019934;39.98663325;61.45816073;78.31727575
2000-07-06;0.137082;11.765769;2.0473855;6.9065766;3.33522019;16.579159589725748;2.711554447;6.897840532;35.49206349;63.46313173;83.61046512
2000-07-07;14.410179;12.253321;3.8576515;8.055487;3.154262306;18.30915885126235;2.711554447;7.706810631;34.15371763;60.72742336;82.76578073
2000-07-08;3.88641;5.993856;-1.9463426;2.0237567;1.826053806;16.579159589725748;2.711554447;7.706810631;34.15371763;60.72742336;82.76578073
