Date;P;Tmax;Tmin;Tmean;ET0;Qmm;NDSI1;NDSI2;NDSI3;NDSI4;NDSI5
2008-02-22;0.0;-0.9795798;-8.409961;-4.6947703;1.637449673;0.2695915515894534;86.9592685;86.03571429;84.9273183;84.42833471;84.75249169
2008-02-23;0.0;-0.9513796;-5.4603148;-3.2058465;1.163648282;0.2710332176407339;86.9592685;86.03571429;84.9273183;84.42833471;84.75249169
2008-02-24;0.0;2.8571224;-4.119426;-0.63115174;1.960413133;0.2724748836920145;86.19285121;82.28405316;81.1946533;80.78376139;80.47923588
2008-02-25;0.0;0.5688001;-3.8568013;-1.6440006;1.445910238;0.3027498707689049;86.19285121;82.28405316;81.1946533;80.78376139;80.47923588
2008-02-26;0.3100164;-0.6310876;-5.585355;-3.108221;1.293827377;0.3128415331278685;88.77389859;87.18604651;86.0;85.73653687;86.37209302
2008-02-27;0.0;-2.3999197;-7.566057;-4.982989;1.33205251;0.3243748615381124;88.77389859;87.18604651;86.0;85.73653687;86.37209302
2008-02-28;0.0;-2.1610684;-10.707845;-6.434456;1.4622278;0.3229331954868319;79.28678304;77.59385382;76.8245614;76.93040597;78.10049834
2008-02-29;3.3508034;-1.630061;-4.8950596;-3.2625604;0.493209735;0.3229331954868319;79.28678304;77.59385382;76.8245614;76.93040597;78.10049834
2008-03-01;25.99105;-0.5985243;-8.811663;-4.7050934;1.584024581;0.3243748615381124;79.28678304;77.59385382;76.8245614;76.93040597;78.10049834
2008-03-02;0.613836;-2.3385627;-8.371126;-5.3548446;0.966378932;0.3099582010253074;79.28678304;77.59385382;76.8245614;76.93040597;78.10049834
2008-03-03;0.4407377;-1.2032565;-8.359111;-4.7811837;1.549360371;0.3027498707689049;73.65918537;69.87541528;69.09774436;69.32062966;70.60963455
2008-03-04;1.032459;-7.116972;-14.973725;-11.045348;0.519152329;0.2897748763073804;73.65918537;69.87541528;69.09774436;69.32062966;70.60963455
2008-03-05;0.453;-14.516025;-19.804554;-17.16029;0.007371566;0.2840082121022584;73.65918537;69.87541528;69.09774436;69.32062966;70.60963455
2008-03-06;0.0;-6.3885784;-21.658485;-14.023533;0.355521801;0.2883332102561;72.61263508;68.87873754;68.13617377;66.85086993;66.62458472
2008-03-07;0.055409838;-0.48538658;-8.8010435;-4.643214;1.809669494;0.2897748763073804;72.61263508;68.87873754;68.13617377;66.85086993;66.62458472
2008-03-08;0.0;-2.7790184;-9.085034;-5.932026;1.439409307;0.268149885538173;72.61263508;68.87873754;68.13617377;66.85086993;66.62458472
2008-03-09;0.0;-5.3206773;-8.909753;-7.115215;0.354623238;0.2609415552817705;73.98586866;72.99501661;73.34001671;72.94614747;69.68106312
2008-03-10;5.001197;-6.8513308;-10.049118;-8.450225;0.402530425;0.2667082194868925;79.23025769;76.38953488;74.16541353;72.72990886;69.9692691
2008-03-11;13.876163;-5.6983004;-10.858694;-8.278498;0.593588954;0.265266553435612;79.23025769;76.38953488;74.16541353;72.72990886;69.9692691
2008-03-12;16.172476;-1.9802697;-11.233799;-6.607034;1.703049435;0.268149885538173;79.23025769;76.11461794;73.28738513;72.22535211;69.5166113
2008-03-13;1.1720492;-6.551332;-12.682611;-9.616972;0.588639791;0.25949988923049;79.23025769;76.11461794;73.28738513;72.22535211;69.5166113
2008-03-14;2.8980985;-2.2079403;-9.704925;-5.956433;1.683806694;0.2638248873843314;79.23025769;76.11461794;73.28738513;72.22535211;69.5166113
2008-03-15;0.45624593;-0.6061277;-7.7940803;-4.200104;1.784565347;0.268149885538173;81.73316708;76.61295681;75.4770259;75.33554267;75.27574751
2008-03-16;12.972689;-2.398797;-8.868752;-5.6337743;1.52116408;0.2868915442048195;81.73316708;76.61295681;75.4770259;75.33554267;75.27574751
2008-03-17;2.406164;-5.750449;-10.461084;-8.105767;0.698359693;0.265266553435612;81.73316708;76.61295681;75.4770259;75.33554267;75.27574751
2008-03-18;0.07367214;-9.1337185;-15.791595;-12.462657;0.11730101;0.2609415552817705;81.73316708;76.61295681;75.4770259;75.33554267;75.27574751
